"carat","cut","color","clarity","depth","table","price","x","y","z","V11"
"114",0.74,"Very Good","G","SI1",62.2,59,7204,5.73,5.82,3.59,0.848583387676626
"115",0.73,"Ideal","F","VS2",62.6,56,14001,5.77,5.74,3.6,0.285609622485936
"116",0.73,"Ideal","F","VS2",62.7,53,13091,5.8,5.75,3.62,0.273660718230531
"117",0.8,"Premium","F","SI2",61.7,58,8314,5.98,5.94,3.68,0.829745568335056
"118",0.71,"Ideal","G","VS2",62.4,54,13535,5.72,5.76,3.58,0.365566327236593
"119",0.7,"Ideal","E","VS2",60.7,58,11031,5.73,5.76,3.49,0.954630196793005
"120",0.8,"Ideal","F","SI2",59.9,59,11270,6.01,6.07,3.62,0.226171055110171
"121",0.71,"Ideal","D","SI2",62.3,56,14718,5.73,5.69,3.56,0.890701249241829
"122",0.74,"Ideal","E","SI1",62.3,54,10739,5.8,5.83,3.62,0.309359435923398
"123",0.7,"Very Good","F","VS2",61.7,63,6610,5.64,5.61,3.47,0.62578871846199
"124",0.7,"Fair","F","VS2",64.5,57,2948,5.57,5.53,3.58,0.554839882533997
"125",0.7,"Fair","F","VS2",65.3,55,2910,5.63,5.58,3.66,0.725123427575454
"126",0.7,"Premium","F","VS2",61.6,60,9261,5.65,5.59,3.46,0.122712416341528
"127",0.91,"Premium","H","SI1",61.4,56,9874,6.09,5.97,3.7,0.864426411688328
"128",0.61,"Very Good","D","VVS2",59.6,57,6418,5.56,5.58,3.32,0.355842013843358
"129",0.91,"Fair","H","SI2",64.4,57,3228,6.11,6.09,3.93,0.757023697718978
"130",0.91,"Fair","H","SI2",65.7,60,NA,6.03,5.99,3.95,0.0405974872410297
"131",0.77,"Ideal","H","VS2",62,56,NA,5.89,5.86,3.64,0.0628496957942843
"132",0.71,"Very Good","D","SI1",63.6,58,7359,5.64,5.68,3.6,0.523567731259391
"133",0.71,"Ideal","D","SI1",61.9,59,10149,5.69,5.72,3.53,0.341068767476827
"134",0.7,"Very Good","E","VS2",62.6,60,6756,5.62,5.65,3.53,0.436456031398848
"135",0.77,"Very Good","H","VS1",61.3,60,7801,5.88,5.9,3.61,0.893228333909065
"136",0.63,"Premium","E","VVS1",60.9,60,9891,5.52,5.55,3.37,0.228287719888613
"137",0.71,"Very Good","F","VS1",60.1,62,6743,5.74,5.77,3.46,0.904970277566463
"138",0.71,"Premium","F","VS1",61.8,59,9410,5.69,5.73,3.53,0.793127729324624
"139",0.76,"Ideal","H","SI1",61.2,57,11173,5.88,5.91,3.61,0.398793447064236
"140",0.64,"Ideal","G","VVS1",61.9,56,11013,5.53,5.56,3.43,0.666583942715079
"141",0.71,"Premium","G","VS2",60.9,57,9376,5.78,5.75,3.51,0.556867088656873
"142",0.71,"Premium","G","VS2",59.8,56,9043,5.89,5.81,3.5,0.89804162713699
"143",0.7,"Very Good","D","VS2",61.8,55,6784,5.68,5.72,3.52,0.673432681476697
"144",0.7,"Very Good","F","VS1",60,57,7211,5.8,5.87,3.5,0.960266183130443
"145",0.71,"Ideal","D","SI2",61.6,55,13573,5.74,5.76,3.54,0.809971878770739
"146",0.7,"Good","H","VVS2",62.1,64,4560,5.62,5.65,3.5,0.599777927389368
"147",0.71,"Very Good","G","VS1",63.3,59,6844,5.52,5.61,3.52,0.8481149377767
"148",0.73,"Very Good","D","SI1",60.2,56,NA,5.83,5.87,3.52,0.096908952575177
"149",0.7,"Very Good","D","SI1",61.1,58,7280,5.66,5.73,3.48,0.975573366507888
"150",0.7,"Ideal","E","SI1",60.9,57,12354,5.73,5.76,3.5,0.262558141490445
"151",0.71,"Premium","D","SI2",61.7,59,9259,5.71,5.67,3.51,0.640238024061546
"152",0.74,"Ideal","I","SI1",61.3,56,14284,5.82,5.86,3.57,0.71314462274313
"153",0.71,"Premium","D","VS2",62.5,60,9765,5.65,5.61,3.52,0.92034364095889
"154",0.73,"Premium","G","VS2",61.4,59,9571,5.83,5.76,3.56,0.8481111144647
"155",0.76,"Very Good","F","SI1",62.9,57,7429,5.79,5.81,3.65,0.778911862988025
"156",0.76,"Ideal","D","SI2",62.4,57,10882,5.78,5.83,3.62,0.151829820824787
"157",0.71,"Ideal","F","SI1",60.7,56,10210,5.77,5.8,3.51,0.451985439285636
"158",0.73,"Premium","G","VS2",60.7,58,9250,5.87,5.82,3.55,0.818199070869014
"159",0.73,"Premium","G","VS1",61.5,58,8591,5.79,5.75,3.55,0.370105083333328
"160",0.73,"Ideal","D","SI2",59.9,57,13972,5.92,5.89,3.54,0.853017817949876
"161",0.73,"Premium","G","VS2",59.2,59,9167,5.92,5.87,3.49,0.587036941200495
"162",0.72,"Very Good","H","VVS2",60.3,56,7643,5.81,5.83,3.51,0.228811789769679
"163",0.73,"Very Good","F","SI1",61.7,60,7242,5.79,5.82,3.58,0.656519660260528
"164",0.71,"Ideal","G","VS2",61.9,57,12176,5.73,5.77,3.56,0.737834207247943
"165",0.79,"Ideal","F","SI2",61.9,55,12623,5.97,5.92,3.68,0.928910091053694
"166",0.73,"Very Good","H","VVS1",60.4,59,7375,5.83,5.89,3.54,0.7162475946825
"167",0.8,"Very Good","F","SI2",61,57,NA,6.01,6.03,3.67,0.054965843912214
"168",0.58,"Ideal","G","VVS1",61.5,55,12891,5.39,5.44,3.33,0.348148254444823
"169",0.58,"Ideal","F","VVS1",61.7,56,14829,5.33,5.37,3.3,0.617671413579956
"170",0.71,"Good","E","VS2",59.2,61,4333,5.8,5.88,3.46,0.581392364576459
"171",0.75,"Ideal","D","SI2",61.3,56,10919,5.85,5.89,3.6,0.311882714275271
"172",0.7,"Premium","D","VS2",58,62,9128,5.87,5.78,3.38,0.623444800497964
"173",1.17,"Very Good","J","I1",60.2,61,7317,6.83,6.9,4.13,0.492097466252744
"174",0.6,"Ideal","E","VS1",61.7,55,13031,5.41,5.44,3.35,0.287805028958246
"175",0.7,"Ideal","E","SI1",62.7,55,13451,5.68,5.74,3.58,0.370966327609494
"176",0.83,"Good","I","VS2",64.6,54,4710,5.85,5.88,3.79,0.943408428924158
"177",0.74,"Very Good","F","VS2",61.3,61,7814,5.8,5.84,3.57,0.81100573670119
"178",0.72,"Very Good","G","VS2",63.7,56.4,6481,5.62,5.69,3.61,0.725779871456325
"179",0.71,"Premium","E","VS2",62.7,58,9798,5.74,5.68,3.58,0.416903198696673
"180",0.71,"Ideal","E","VS2",62.2,57,14921,5.79,5.62,3.55,0.200569386826828
"181",0.54,"Ideal","E","VVS2",61.6,56,13106,5.25,5.27,3.24,0.703513181535527
"182",0.54,"Ideal","E","VVS2",61.5,57,12752,5.24,5.26,3.23,0.548265729798004
"183",0.72,"Ideal","G","SI1",61.8,56,13005,5.72,5.75,3.55,0.413078143494204
"184",0.72,"Ideal","G","SI1",60.7,56,11038,5.79,5.82,3.53,0.977380898315459
"185",0.72,"Good","G","VS2",59.7,60.5,4995,5.8,5.84,3.47,0.65970561048016
"186",0.71,"Ideal","G","SI1",60.5,56,NA,5.8,5.76,3.5,0.0350367529317737
"187",0.7,"Very Good","D","VS1",62.7,58,7351,5.66,5.73,3.57,0.538439888274297
"188",0.71,"Premium","F","VS2",62.1,58,9793,5.67,5.7,3.53,0.444842700148001
"189",0.71,"Very Good","F","VS2",62.8,57,NA,5.64,5.69,3.56,0.0232046453747898
"190",0.71,"Good","F","VS2",63.8,58,5030,5.61,5.64,3.59,0.306382695678622
"191",0.71,"Good","F","VS2",57.8,60,4820,5.87,5.9,3.4,0.834954735590145
"192",0.7,"Ideal","E","VS2",62.1,55,13157,5.7,5.67,3.53,0.52028078539297
"193",0.7,"Premium","E","VS2",61.1,60,8946,5.71,5.64,3.47,0.604659323580563
"194",0.7,"Premium","E","SI1",60,59,NA,5.79,5.75,3.46,0.0214826024603099
"195",0.7,"Premium","E","SI1",61.2,57,9450,5.73,5.68,3.49,0.42536807898432
"196",0.7,"Premium","E","SI1",62.7,59,9848,5.67,5.63,3.54,0.820006542140618
"197",0.7,"Premium","E","SI1",61,57,9784,5.73,5.68,3.48,0.716164064360783
"198",0.7,"Premium","E","SI1",61,58,9595,5.78,5.72,3.51,0.979590635746717
"199",0.7,"Ideal","E","SI1",61.4,57,10322,5.76,5.7,3.52,0.946074095088989
"200",0.72,"Premium","F","SI1",61.8,61,8395,5.82,5.71,3.56,0.987802448915318
"201",0.7,"Very Good","E","SI1",59.9,63,6939,5.76,5.7,3.43,0.971683633048087
"202",0.7,"Premium","E","SI1",61.3,58,9001,5.71,5.68,3.49,0.680132429115474
"203",0.7,"Premium","E","SI1",60.5,58,9588,5.77,5.74,3.48,0.873930427245796
"204",0.7,"Good","E","VS2",64.1,59,4517,5.64,5.59,3.6,0.594273516442627
"205",0.98,"Fair","H","SI2",67.9,60,2337,6.05,5.97,4.08,0.127139967400581
"206",0.78,"Premium","F","SI1",62.4,58,9013,5.83,5.8,3.63,0.937620203243569
"207",0.7,"Very Good","E","SI1",63.2,60,7032,5.6,5.51,3.51,0.238897886592895
"208",0.52,"Ideal","F","VVS1",61.3,55,13307,5.19,5.22,3.19,0.559426720486954
"209",0.73,"Very Good","H","VS2",60.8,56,6092,5.82,5.84,3.55,0.490320030599833
"210",0.74,"Ideal","E","SI1",61.7,56,12808,5.84,5.8,3.59,0.469459323678166
"211",0.7,"Very Good","F","VS2",63.6,57,7858,5.61,5.65,3.58,0.757003541802987
"212",0.77,"Premium","G","VS2",61.2,58,8001,5.9,5.93,3.62,0.81219481327571
"213",0.71,"Ideal","F","VS2",62.1,54,13968,5.68,5.72,3.54,0.366199277341366
"214",0.74,"Ideal","G","VS1",61.5,55,12953,5.81,5.86,3.59,0.786713726585731
"215",0.7,"Ideal","G","VS1",61.4,59,14884,5.64,5.73,3.49,0.317574672400951
"216",1.01,"Premium","F","I1",61.8,60,9569,6.39,6.36,3.94,0.387840227922425
"217",0.77,"Ideal","H","SI1",62.2,56,12713,5.83,5.88,3.64,0.339357874821872
"218",0.78,"Ideal","H","SI1",61.2,56,14580,5.92,5.99,3.64,0.414745919872075
"219",0.72,"Very Good","H","VS1",60.6,63,7386,5.83,5.76,3.51,0.273754745256156
"220",0.53,"Very Good","D","VVS2",57.5,64,7283,5.34,5.37,3.08,0.672765216324478
"221",0.76,"Ideal","G","VS2",61.3,56,10399,5.9,5.94,3.63,0.143481721868739
"222",0.7,"Good","E","VS1",57.2,62,5552,5.81,5.77,3.31,0.647154505131766
"223",0.7,"Premium","E","VS1",62.9,60,8574,5.62,5.54,3.51,0.45366484252736
"224",0.75,"Very Good","D","SI2",63.1,58,7353,5.78,5.73,3.63,0.974925108486786
"225",0.72,"Ideal","D","SI1",60.8,57,12672,5.76,5.75,3.5,0.506056772312149
"226",0.72,"Premium","D","SI1",62.7,59,NA,5.73,5.69,3.58,0.0291644867975265
"227",0.7,"Premium","D","SI1",62.8,60,8557,5.68,5.66,3.56,0.621638447511941
"228",0.84,"Fair","G","SI1",55.1,67,2691,6.39,6.2,3.47,0.813135791337118
"229",0.75,"Premium","F","SI1",61.4,59,9155,5.88,5.85,3.6,0.63548893854022
"230",0.52,"Ideal","F","IF",62.2,55,13913,5.14,5.18,3.21,0.922809628304094
"231",0.72,"Very Good","F","VS2",63,54,7455,5.69,5.73,3.6,0.779418447287753
"232",0.79,"Very Good","H","VS1",63.7,56,6237,5.85,5.92,3.75,0.447253037476912
"233",0.72,"Very Good","F","VS2",63.6,58,7728,5.66,5.69,3.61,0.139589330879971
"234",0.51,"Ideal","F","VVS1",62,57,14053,5.11,5.15,3.18,0.778674296103418
"235",0.64,"Ideal","D","VS1",61.5,56,12727,5.54,5.55,3.41,0.863738902145997
"236",0.7,"Very Good","H","VVS1",60.5,60,NA,5.74,5.77,3.48,0.0283944967668504
"237",0.83,"Very Good","I","VS1",61.1,60,6565,6.07,6.1,3.72,0.447847907664254
"238",0.76,"Ideal","I","VVS2",61.8,56,14117,5.85,5.87,3.62,0.491891033481807
"239",0.71,"Good","D","VS2",63.3,56,5725,5.64,5.68,3.58,0.817490279441699
"240",0.77,"Good","G","VS1",59.4,64,4924,5.97,5.92,3.53,0.714743020711467
"241",0.71,"Ideal","F","SI1",62.5,55,14527,5.71,5.65,3.55,0.831331002293155
"242",1.01,"Fair","E","I1",64.5,58,3218,6.29,6.21,4.03,0.409398267278448
"243",1.01,"Premium","H","SI2",62.7,59,8714,6.31,6.22,3.93,0.655846226261929
"244",0.77,"Good","F","SI1",64.2,52,5914,5.81,5.77,3.72,0.882045708131045
"245",0.76,"Good","E","SI1",63.7,54,4804,5.76,5.85,3.7,0.364645873894915
"246",0.76,"Premium","E","SI1",60.4,58,9287,5.92,5.94,3.58,0.313515186309814
"247",0.76,"Premium","E","SI1",61.8,58,9409,5.82,5.86,3.61,0.111597285140306
"248",1.05,"Very Good","J","SI2",63.2,56,6472,6.49,6.45,4.09,0.228155616670847
"249",0.81,"Ideal","G","SI2",61.6,56,14585,5.97,6.01,3.69,0.660539991455153
"250",0.7,"Ideal","E","SI1",61.6,56,10833,5.72,5.75,3.53,0.295070502208546
"251",0.55,"Ideal","G","IF",60.9,57,13606,5.28,5.3,3.22,0.97313944157213
"252",0.81,"Good","G","SI2",61,61,4397,5.94,5.99,3.64,0.718282718677074
"253",0.63,"Premium","E","VVS2",62.1,57,8740,5.48,5.41,3.38,0.416163375368342
"254",0.63,"Premium","E","VVS1",60.9,60,8852,5.55,5.52,3.37,0.92252750415355
"255",0.77,"Premium","H","VS1",61.3,60,9266,5.9,5.88,3.61,0.118153645657003
"256",1.05,"Fair","J","SI2",65.8,59,3908,6.41,6.27,4.18,0.831321190111339
"257",0.64,"Ideal","G","IF",61.3,56,13197,5.54,5.58,3.41,0.59728628071025
"258",0.76,"Premium","I","VVS1",58.8,59,9006,6,5.94,3.51,0.60432781628333
"259",0.83,"Ideal","F","SI2",62.3,55,13215,6.02,6.05,3.76,0.354494380764663
"260",0.71,"Premium","F","VS1",60.1,62,8920,5.77,5.74,3.46,0.223221300868317
"261",0.71,"Premium","F","VS1",61.8,59,8010,5.73,5.69,3.53,0.582579337991774
"262",0.87,"Very Good","I","SI1",63.6,55.8,6168,6.07,6.1,3.87,0.662455609068274
"263",0.73,"Ideal","E","SI1",62.2,56,10984,5.74,5.78,3.58,0.228296298999339
"264",0.71,"Premium","E","SI1",59.2,59,8399,5.83,5.86,3.46,0.937057275092229
"265",0.71,"Premium","E","SI1",61.8,59,9027,5.7,5.75,3.54,0.85576549754478
"266",0.71,"Ideal","E","SI1",61.3,55,13611,5.72,5.77,3.52,0.374728985363618
"267",0.7,"Premium","F","VS1",62.1,60,8172,5.71,5.65,3.53,0.808989531593397
"268",0.7,"Premium","F","VS1",60.7,60,8716,5.78,5.75,3.5,0.508240774273872
"269",0.76,"Premium","H","VVS2",59.6,57,8346,5.91,5.86,3.51,0.36091156792827
"270",0.7,"Ideal","F","VS1",62.2,56,14874,5.73,5.68,3.55,0.138976373709738
"271",0.79,"Very Good","G","SI1",60.6,57,6007,5.98,6.06,3.65,0.655144361546263
"272",0.7,"Very Good","E","VS2",62.9,57,6490,5.66,5.69,3.57,0.706187751377001
"273",0.7,"Good","E","VS2",64.1,55,4757,5.6,5.66,3.61,0.422599597834051
"274",0.76,"Ideal","I","VS2",61.3,56,14734,5.87,5.91,3.61,0.257976982044056
"275",0.73,"Ideal","H","VS2",62.7,55,13922,5.72,5.76,3.6,0.827898270916194
"276",0.79,"Very Good","E","SI1",63.2,56,6459,5.91,5.86,3.72,0.571240573655814
"277",0.71,"Very Good","E","VS2",60.7,56,6838,5.81,5.82,3.53,0.860262907342985
"278",0.81,"Premium","I","VVS2",61.9,60,8800,5.91,5.86,3.64,0.610454968176782
"279",0.81,"Ideal","F","SI2",62.6,55,12960,5.92,5.96,3.72,0.979941733181477
"280",0.72,"Good","F","VS1",60.7,60,4143,5.74,5.72,3.48,0.736846974585205
"281",0.72,"Premium","D","SI2",62,60,9366,5.73,5.69,3.54,0.845001682871953
"282",0.72,"Premium","I","IF",63,57,9876,5.72,5.7,3.6,0.78441325109452
"283",0.81,"Premium","H","VS2",58,59,9474,6.17,6.13,3.57,0.313153777271509
"284",0.72,"Premium","G","VS2",62.9,57,9993,5.73,5.65,3.58,0.615024207159877
"285",1,"Premium","I","SI2",58.2,60,NA,6.61,6.55,3.83,0.0405572578310966
"286",0.73,"Good","E","SI1",63.2,58,4527,5.7,5.76,3.62,0.266624961746857
"287",0.81,"Very Good","H","SI2",61.3,59,NA,5.94,6.01,3.66,0.0667840545065701
"288",0.81,"Very Good","E","SI1",60.3,60,6222,6.07,6.1,3.67,0.616810636827722
"289",0.71,"Premium","D","SI1",62.7,60,8442,5.67,5.71,3.57,0.634265022817999
"290",0.71,"Premium","D","SI1",61.3,58,9633,5.73,5.75,3.52,0.943933843867853
"291",0.71,"Premium","D","SI1",61.6,60,8110,5.74,5.69,3.52,0.183337770868093
"292",0.57,"Ideal","F","VVS2",61.9,55,13190,5.34,5.35,3.31,0.772269840585068
"293",0.51,"Ideal","D","VVS1",61.7,56,10397,5.12,5.16,3.17,0.749705228256062
